strata,description,land size,year,land,building,total value
5,residential,8705,1946,924000,27900,951900
5,residential,4355,,729000,0,729000
5,residential,8712,1948,1004000,153000,1157000
5,residential,4361,1930,792000,78300,870300
5,residential,8736,1934,1237000,12600,1249600
5,residential,8683,1939,1003000,166000,1169000
5,residential,8694,1928,1004000,360600,1364600
5,residential,8704,1946,1004000,105000,1109000
5,residential,5938,1910,879000,16200,895200
5,residential,8576,1959,2487000,10000,2497000
5,residential,8631,1941,1761000,13300,1774300
5,residential,8677,1920,2212000,43600,2255600
5,residential,8727,1910,1005000,51300,1056300
5,residential,8707,1960,1004000,52300,1056300
5,residential,6815,1910,92300,87100,179400
5,residential,8708,2000,954000,337000,1291000
5,residential,10925,1989,1085000,328000,1413000
5,residential,8716,1930,2527000,5700,2532700
5,residential,8705,1955,1953000,5700,1958700
5,residential,8707,1964,2220000,12200,2232200
5,residential,5448,1969,855000,125000,980000
5,residential,6411,1989,768000,228000,996000
5,residential,6063,1984,974000,203000,1177000
5,residential,8328,1980,989000,174000,1163000
5,residential,9325,1981,771000,182000,953000
5,residential,8226,1957,102900,106000,208900
6,residential,8708,,2002000,0,2002000
6,residential,2023,1996,607000,175000,782000
6,residential,8709,,696000,0,696000
6,residential,4323,,561000,0,561000
6,townhouse,1521,2019,931000,0,931000
6,residential,8708,1910,1776000,13600,1789600
6,retail store,8712,1910,1776000,284000,2060000
6,residential,8698,1947,903000,41300,944300
6,residential,8699,1910,903000,50100,953100
6,church,0.6 acres,1901,1308000,167300,1475300
6,residential,8712,1947,1742000,10000,1752000
6,unclassified,8.964acres,,14944000,17115700,32059700
6,retail store,7524,1945,1279000,3100,1282100
6,retail store,2673,1974,454000,387000,841000
6,residential,4360,1943,889000,8200,897200
6,residential,5808,1925,987000,370000,1357000
6,residential,4356,1955,871000,382000,1253000
6,residential,26136,1994,702000,1526000,2228000
6,,1941,,310000,0,310000
6,retail store,4356,1947,870000,120700,990700
6,retail store,8712,1971,1742000,17100,1759100
6,retail store,8712,1955,1742000,384000,2126000
6,townhouse,805,2018,498000,0,498000
6,townhouse,605,2018,477800,0,477800
6,retail store,8712,1960,2265000,4800,2269800
6,retail store,13068,1987,3397000,2700,3399700
6,storage,8712,1979,2265000,755000,3020000
6,residential,8696,1949,2260000,10000,2270000
6,retail store,12936,1981,33636000,20500,33656500
6,retail store,13068,1984,3397000,1589000,4986000
6,,4356,,496000,0,496000
6,town house,1156,2006,687000,0,687000
6,town house,1261,2006,772000,0,772000
6,town house,1248,2012,775000,0,775000
6,town house,1393,2013,1016000,0,1016000
6,storage,8712,1988,2700000,6400,2706400
6,residential,8705,1958,2785000,10000,2795000
6,retail store,17424,1994,5575000,21600,5596600
6,,20452,,6544000,0,6544000
6,,9712,,2787000,0,2787000
6,,26136,,8363000,0,8363000
6,storage,8712,1988,2787000,7300,2794300
6,retail store,8712,1965,2787000,4900,2791900
6,residential,2023,1996,607000,175000,782000
6,residential,2389,1995,583000,173000,756000
6,residential,8711,1976,1777000,21200,1798200
6,retail store,6600,1920,1121000,56800,1177800
6,town house,625,2018,388000,0,388000
6,town house,936,2012,634000,0,634000
6,storage,8712,1990,2700000,6400,2706400
7,,23210,,696300,0,696300
7,,55756,,16726000,0,16726000
7,storage,28700,1980,6428000,21300,6449300
7,storage,8712,1978,2613000,7800,2620800
7,,21284,,6385000,0,6385000
7,storage,2063,1979,597700,0,597700
7,storage,28700,1980,6428000,21300,6449300
7,storage,16379,1986,4585000,10900,4595900
7,storage,10893,1971,3267000,190000,3457000
7,storage,10890,1987,3267000,638000,3905000
7,storage,10890,1990,3267000,10500,3277500
7,storage,10896,1973,3268000,6000,3274000
7,storage,8712,1989,2612000,7400,2619400
7,storage,8712,1977,2613000,5500,2618500
7,storage,8719,2004,2615000,61000,2676000
7,,1270,,139000,0,139000
7,,2174,,239000,0,239000
7,storage,8712,1978,2613000,636000,3249000
7,storage,8712,1975,2613000,10100,2623100
7,storage,8712,2004,2613000,1887000,4500000
7,storage,8712,1968,2613000,2100,2615100
7,storage,8712,1993,2613000,6000,2619000
7,storage,8712,1975,2613000,636000,3249000
7,,2316,,141000,0,141000
7,,19578,,643000,0,643000
7,,1501,,165000,0,165000
7,unclassified,32.763 acres,,50927000,3425200,54352200
7,unclassified,8712,1970,1010000,35700,1045700
7,unclassified,20243,1905,1268000,79500,1347500
7,retail store,504,1986,78900,144000,222900
7,storage,8712,1873,1010000,1055000,2065000
7,storage,8712,1975,1010000,1481000,2491000
7,storage,43037,1979,2955000,1960000,4915000
7,storage,2000,1976,627000,24000,651000
7,,3.63 acres,,7078000,0,7078000
7,retail store,23789,2007,2690000,2296000,4986000
7,retail store,500,2013,78300,192000,270300
7,storage,3640,1976,1028400,0,1028400
7,retail store,8712,1981,1010000,159000,1169000
7,,527,,27800,0,27800
7,,832,,43900,0,43900
7,,2553,,280000,0,280000
7,,12120,,1112000,4200,1116200
7,storage,17424,1976,5227000,8100,5235100
7,,796,,87500,0,87500
